,Unnamed: 0,Unnamed: 0.1,Name,Latitude,Longitude,Province/Territory_x,ID_NEW,Name2,,,,
954,954,892,Cochrane,49.06,-81.02,ON,YKP,Ogoki Post,,,,
1051,1051,374,Collingwood,44.51,-80.22,ON,WCO,Collingwood,,,,
111,111,1018,Colville Lake,67.02,-126.13,NT,YYL,Lynn Lake,,,,
137,137,965,Comox,49.71,-124.89,BC,YQQ,Comox,,,,
979,979,1080,Coral Harbour,64.19,-83.36,NU,YZS,Coral Harbour,,,,
1569,1569,473,Corner Brook,48.93,-57.92,NF,WKB,Corner Brook Massey Drive,,,,
727,727,353,Coronach ,49.05,-105.48,SK,WAQ,Coronach,,,,
389,389,335,Cranbrook,49.62,-115.79,BC,YXC,Cranbrook Marysville,,,,
376,376,466,Creston,49.08,-116.5,BC,WJR,Creston,,,,
424,424,561,Crowsnest,49.63,-114.48,AB,WRT,Crowsnest Coleman,,,,
790,790,817,Dauphin,51.1,-100.05,MB,YDN,Dauphin,,,,
6,6,810,Dawson City,64.04,-139.13,YT,YDA,Dawson Rock Creek,,,,
203,203,1288,Dawson Creek,55.7,120.23,BC,VDQ,,,,,
40,40,1291,Dease Lake,58.43,-130,BC,WDL,,,,,
180,180,1038,Deline,65.21,-123.44,NT,YWJ,Fort Franklin   Deline,,,,
229,229,286,Delta Burns Bog,49.13,-123,BC,YBB,Kugaaruk Pelly Bay ( -1999) West Simpson,,,,
791,791,1444,Delta Marsh,51.1,-98.2,MB,WUG,,,,,
1403,1403,10,Doaktown,46.59,-66.01,NB,ADN,,,,,
528,528,391,Drumheller,51.45,-112.68,AB,WDZ,Drumheller East,,,,
891,891,854,Dryden,49.83,-92.74,ON,YHD,Dryden,,,,
890,890,685,Ear Falls,50.63,-93.22,ON,XEA,Ear Falls,,,,
1066,1066,276,Earlton,47.7,-79.85,ON,TXR,,,,,
1511,1511,402,East Point,46.46,-61.99,PEI,WEP,East Point Eastern Kings,,,,
682,682,397,Eastend Cypress,49.44,-108.99,SK,WEH,Eastend Cypress,,,,
438,438,735,Stony Plain,53.55,-114.11,AB,XPS,Edmonton Stony Plain Spring Lake,,,,
381,381,826,Edson,53.58,-116.47,AB,YET,Edson,,,,
511,511,412,Elk Island Nat Park,53.68,-112.87,AB,WFE,Elk Island National Park Lamont,,,,
832,832,409,Emerson,49,-97.24,MB,WEX,Emerson,,,,
1585,1585,376,Englee,50.72,-56.11,NF,WDA,Englee,,,,
783,783,459,Ennadai Lake,61.13,-100.88,NU,WJC,Ennadai Lake,,,,
1541,1541,12,Eskasoni First Nation,45.92,-60.65,NS,AEI,,,,,
181,181,530,Esquimalt Harbour,48.43,-123.44,BC,WPF,Victoria Esquimalt,,,,
760,760,824,Estevan,49.21,-102.97,SK,YEN,Estevan,,,,
661,661,434,Esther,51.67,-110.21,AB,WGY,Esther Loverna,,,,
28,28,596,Faro,62.21,-133.38,YT,WUM,Faro,,,,
828,828,584,Fisher Branch,51.08,-97.55,MB,WSZ,Fisher Branch,,,,
773,773,416,Flin Flon,54.68,-101.68,MB,WFO,Flin Flon Channing,,,,
553,553,1178,Fort Chipewyan,58.71,-111.14,AB,WPY,,,,,
76,76,835,Fort Good Hope,66.24,-128.65,NT,YGH,Fort Good Hope,,,,
969,969,1811,Fort Hope,51.55,-87.9,ON,YFH,,,,,
77,77,1638,Fort Liard,60.23,-123.47,NT,WJF,,,,,
251,251,1063,Fort Nelson,58.84,-122.6,BC,YYE,Fort Nelson,,,,
460,460,832,Fort Resolution,61.18,-113.69,NT,YFR,Fort Resolution,,,,
935,935,825,Fort Severn,56.02,-87.68,ON,YER,Fort Severn,,,,
461,461,1645,Fort Simpson,61.86,-121.35,NT,XFS,,,,,
440,440,1034,Fort Smith,60.05,-111.88,NT,YWE,,,,,
1390,1390,829,Fredericton,45.87,-66.54,NB,YFC,Fredericton Oromocto,,,,
358,358,639,Gameti,64.11,-117.33,NT,WYH,Rae Lakes,,,,
1582,1582,1544,Gander,48.95,-54.61,NF,WQX,,,,,
1445,1445,48,Gaspe,48.78,-64.48,QC,GGA,,,,,
1205,1205,929,Gatineau,45.52,-75.56,QC,YND,Ottawa Templeton,,,,
865,865,850,Gillam,56.36,-94.71,MB,YGX,Gillam,,,,
858,858,858,Gjoa Haven,68.64,-95.85,NU,YHK,Gjoa Haven,,,,
296,296,1300,Golden,51.29,-116.96,BC,WGE,,,,,
1013,1013,1818,Gore Bay,45.91,-82.45,ON,OZR,,,,,
1271,1271,56,Granby,45.37,-72.77,QC,MGB,Granby,,,,
1533,1533,650,Grand Etang,46.55,-61.05,NS,WZQ,Grand Etang ChÇticamp,,,,
1383,1383,699,Grand Manan,44.71,-66.8,NB,XGM,Grand Manan,,,,
643,643,1182,Grande Cache,53.89,-119.11,AB,WAM,,,,,
331,331,968,Grande Prairie,55.18,-118.88,AB,YQU,Grande Prairie,,,,
1432,1432,1088,Greenwood,44.98,-64.92,NS,YZX,Greenwood,,,,
1053,1053,263,Guelph,43.55,-80.21,ON,TGT,Guelph University of Guelph,,,,
1483,1483,1607,Halifax,44.65,-63.57,NS,WHX,,,,,
1021,1021,1013,Hall Beach,68.78,-81.24,NU,YUX,Hall Beach,,,,
1059,1059,860,Hamilton,43.17,-79.94,ON,YHM,Hamilton   Mount Hope Ancaster,,,,
1535,1535,558,Hart Island,45.35,-60.98,NS,WRN,Hart Island Canso,,,,
393,393,862,Hay River,60.84,-115.78,NT,YHY,Hay River,,,,
334,334,526,Hendrickson Creek,53.79,-118.45,AB,WPA,Hendrickson Creek Grande Cache,,,,
369,369,933,High Level,58.62,-117.16,AB,YOJ,High Level Footner Lake,,,,
281,281,855,Hope,49.37,-121.5,BC,YHE,Hope,,,,
62,62,1310,Hope Slide,49.29,-121.25,BC,WKV,,,,,
1549,1549,440,Hopedale,55.45,-60.22,NF,WHO,Hopedale,,,,
286,286,1316,Hudson Hope,56.03,-121.9,BC,YNH,,,,,
1011,1011,846,Igloolik,69.36,-81.82,NU,YGT,Igloolik,,,,
754,754,358,Indian Head,50.55,-103.65,SK,WBD,Indian Head,,,,
1546,1546,707,Ingonish Beach,46.66,-60.41,NS,XIB,Ingonish Beach,,,,
1149,1149,60,Inukjuak,58.47,-78.08,QC,MJK,,,,,
1352,1352,828,Iqaluit,63.76,-68.56,NU,YFB,Iqaluit Apex,,,,
1155,1155,866,Ivujivik,62.42,-77.93,QC,YIK,Ivujivik,,,,
301,301,874,Kamloops,50.7,-120.45,BC,YKA,Kamloops North Kamloops,,,,
1151,1151,1994,Kangiqsualujjuaq,58.71,-65.99,QC,YKB,,,,,
995,995,1070,Kapuskasing,49.41,-82.47,ON,YYU,Kapuskasing,,,,
302,302,1320,Kelowna,49.89,-119.49,BC,WLW,,,,,
1203,1203,709,Kemptville,45.01,-75.64,ON,XKE,Kemptville,,,,
872,872,960,Kenora,49.79,-94.36,ON,YQK,Kenora,,,,
1447,1447,712,Kentville,45.07,-64.48,NS,XKT,Kentville,,,,
724,724,884,Key Lake,57.26,-105.62,SK,YKJ,Key Lake,,,,
1017,1017,359,Killarney,45.97,-81.48,ON,WBE,Killarney Birch Island,,,,
1338,1338,901,Kimmirut,62.85,-69.88,NU,YLC,Kimmirut (Lake Harbour),,,,
676,676,894,Kindersley,51.52,-109.18,SK,YKY,Kindersley,,,,
1016,1016,1834,Kingston,44.2,-76.48,ON,WGK,,,,,
1431,1431,23,Kouchibouguac,46.79,-65.01,NB,AKC,Kouchibouguac Saint-Louis de Kent,,,,
399,399,800,Kugluktuk,67.82,-115.14,NU,YCO,Kugluktuk (Coppermine),,,,
1164,1164,849,Kuujjuarapik,55.28,-77.77,QC,YGW,Kuujjuarapik (1986- ) Post-de-la-Baleine (1962-1985) Post-de-la-Baleine (1961) Great Whale River ( -1960),,,,
1256,1256,407,L'Assomption,45.81,-73.43,QC,WEW,East Baltic,,,,
677,677,2094,La Ronge,55.1,-105.28,SK,YVC,,,,,
1596,1596,351,La Scie,49.91,-55.67,NF,WAG,La Scie Brent's Cove,,,,
1286,1286,976,Lac-Saint-Jean,48.52,-72.27,QC,YRJ,Roberval,,,,
457,457,548,Lacombe,52.45,-113.76,AB,WQQ,Lacombe,,,,
971,971,266,Lake Superior Provincial Park,47.72,-84.81,ON,TLS,,,,,
931,931,484,Lansdowne House,52.2,-87.94,ON,WLF,Lansdowne House  Fort Hope,,,,
673,673,471,Leader,50.91,-109.5,SK,WJX,Leader,,,,
520,520,961,Lethbridge,49.63,-112.8,AB,YQL,Lethbridge,,,,
1024,1024,1056,London,43.03,-81.15,ON,YXU,London,,,,
1460,1460,365,Longue-Pointe-De-Mingan,50.27,-64.23,QC,WBT,Longue Pointe de Mingan Longue-Pointe-de-Mingan,,,,
1257,1257,861,Longueuil,45.52,-73.42,QC,YHU,Montreal Lafläche,,,,
709,709,483,Lucky Lake,50.95,-107.15,SK,WLE,Lucky Lake,,,,
1454,1454,713,Lunenburg,44.36,-64.3,NS,XLB,Lunenberg Lunenburg,,,,
780,780,178,Lynn Lake,56.86,-101.07,MB,PLE,,,,,
237,237,346,Mackenzie,55.31,-122.86,BC,YZY,Mackenzie,,,,
1564,1564,833,Makkovik,55.08,-59.19,NF,YFT,Makkovik,,,,
172,172,477,Malahat,48.57,-123.53,BC,WKH,Malahat Cliffside,,,,
1506,1506,724,Malay Falls,44.99,-62.48,NS,XMY,Malay Falls Dufferin Mines,,,,
674,674,497,Maple Creek,49.9,-109.47,SK,WMQ,Maple Creek,,,,
1481,1481,722,Maple Plains,46.3,-63.58,PEI,XMP,Maple Plains,,,,
948,948,992,Marathon,48.76,-86.34,ON,YSP,Marathon,,,,
211,211,1334,Masset,54.01,-132.15,BC,WMA,,,,,
1158,1158,932,Matagami,49.76,-77.8,QC,YNM,Matagami,,,,
16,16,915,Mayo,63.62,-135.87,YT,YMA,Mayo,,,,
685,685,487,Meadow Lake,54.13,-108.52,SK,WLJ,Meadow Lake,,,,
637,637,723,Medicine Hat,50.03,-110.72,AB,XMW,Medicine Hat,,,,
743,743,413,Melfort,52.82,-104.6,SK,WFF,Melfort,,,,
782,782,398,Melita,49.28,-100.99,MB,WEI,Melita,,,,
593,593,499,Mildred Lake,57.04,-112.56,AB,WMX,Mildred Lake Tar Island,,,,
533,533,213,Milk River Ridge Reservoir,49.28,-112.54,AB,PRR,Milk River Ridge Reservoir New Dayton,,,,
1594,1594,1564,Mingan,50.3,-64.02,NF,YLP,,,,,
1513,1513,925,Minganie,50.19,-61.79,QC,YNA,Natashquan,,,,
1229,1229,924,Mirabel,45.68,-74.04,QC,YMX,Montreal Mirabel,,,,
1438,1438,963,Moncton,46.11,-64.68,NB,YQM,Moncton Lakeburn,,,,
1362,1362,1073,Mont-Joli,48.61,-68.21,QC,YYY,Mont Joli Mont-Joli,,,,
1235,1235,2018,Montreal,45.48,-73.77,QC,WAO,,,,,
947,947,1841,Montreal River,48.76,-86.35,ON,WGJ,,,,,
726,726,918,Moose Jaw,50.33,-105.57,SK,YMJ,Moose Jaw Archive,,,,
1037,1037,1846,Moosonee,51.29,-80.62,ON,WSM,,,,,
813,813,716,Morden,49.19,-98.08,MB,XMD,Morden,,,,
167,167,1340,Muncho Lake,58.93,-125.76,BC,WWQ,,,,,
1117,1117,950,Muskoka,44.97,-79.3,ON,YQA,Muskoka Muskoka Falls,,,,
1521,1521,417,Nain,56.55,-61.68,NF,WFP,Nain Natuashish,,,,
347,347,509,Nakusp,50.27,-117.82,BC,WNP,Nakusp,,,,
165,165,795,Nanaimo,49.05,-123.87,BC,YCD,Nanaimo Extension,,,,
1514,1514,64,Natashquan,50.19,-61.79,QC,MNT,,,,,
951,951,1012,Naujaat,66.52,-86.22,NU,YUT,Repulse Bay (Naujaat),,,,
359,359,507,Nelson,49.49,-117.31,BC,WNM,Nelson,,,,
1420,1420,516,New Carlisle,48.01,-65.33,QC,WOC,New Carlisle,,,,
1407,1407,61,New Richmond ,48.16,-65.84,QC,MJN,,,,,
1276,1276,510,Nicolet,46.23,-72.66,QC,WNQ,Nicolet,,,,
747,747,2101,Nipawin,53.33,-104.01,SK,XSN,,,,,
385,385,725,Nordegg,52.47,-116.08,AB,XND,Nordegg Brazeau,,,,
102,102,1025,Norman Wells,65.28,-126.8,NT,YYQ,Churchill,,,,
693,693,204,North Battleford,52.77,-108.25,SK,PQW,,,,,
945,945,1852,North Bay,46.31,-79.46,ON,WLQ,,,,,
1469,1469,503,North Cape,46.5,-63.4,PEI,WNE,North Point Tignish Shore,,,,
821,821,931,Norway House,53.96,-97.84,MB,YNE,Norway House,,,,
649,649,518,Onefour,49.12,-110.47,AB,WOE,Onefour Fox Crossing,,,,
710,710,638,Outlook,51.48,-107.05,SK,WYE,Outlook,,,,
1410,1410,636,Pangnirtung,66.14,-65.71,NU,WXP,Pangnirtung,,,,
1054,1054,733,Parry Sound,45.34,-80.04,ON,XPC,Parry Sound,,,,
159,159,938,Paulatuk,69.36,-124.08,NT,YPC,Paulatuk,,,,
246,246,508,Peace River,56.23,-117.33,BC,WNO,Satah River Tsiigehtchic,,,,
962,962,944,Peawanuck,54.99,-85.44,ON,YPO,Peawanuck Winisk,,,,
309,309,1064,Penticton,49.46,-119.6,BC,YYF,Penticton,,,,
1173,1173,1033,Petawawa,45.95,-77.32,ON,YWA,Petawawa,,,,
1142,1142,945,Peterborough,44.23,-78.36,ON,YPQ,Peterborough,,,,
908,908,943,Pickle Lake,51.45,-90.21,ON,YPL,Pickle Lake,,,,
805,805,535,Pilot Mound,49.19,-98.91,MB,WPO,Pilot Mound,,,,
852,852,392,Pinawa,50.18,-96.06,MB,WEA,Pinawa Lac du Bonnet,,,,
443,443,126,Pincher Creek,49.52,-114.01,AB,PCK,,,,,
1392,1392,529,Point Lepreau,45.07,-66.45,NB,WPE,Point Lepreau Pocologan,,,,
1341,1341,542,Pointe De L'Islet,48.14,-69.72,QC,WQD,Pointe De L'islet Tadoussac,,,,
1152,1152,869,Pond Inlet,72.69,-77.97,NU,YIO,Pond Inlet,,,,
1120,1120,527,Port Colborne,42.87,-79.25,ON,WPC,Port Colborne,,,,
96,96,1082,Port Hardy,50.68,-127.37,BC,YZT,Port Hardy,,,,
994,994,1877,Port Hope,43.95,-78.29,ON,WPV,,,,,
146,146,316,Powell River,49.83,-124.5,BC,YOP,Rainbow Lake,,,,
723,723,937,Prince Albert,53.21,-105.67,SK,YPA,Prince Albert,,,,
97,97,1362,Prince George,53.91,-122.74,BC,VXS,,,,,
59,59,946,Prince Rupert,54.29,-130.44,BC,YPR,Prince Rupert Metlakatla,,,,
298,298,813,Princeton,49.47,-120.51,BC,YDC,Princeton,,,,
1456,1456,2030,Puvirnituq,60.03,-77.26,QC,MQP,,,,,
1342,1342,852,Quaqtaq,61.05,-69.62,QC,YHA,Quaqtaq,,,,
1300,1300,540,Quebec/Jean Lesage Intl,46.8,-71.38,QC,WQB,Quebec L'Ancienne-Lorette,,,,
86,86,1373,Quesnel,52.98,-122.49,BC,VQZ,,,,,
894,894,981,Rankin Inlet,62.81,-92.11,NU,YRT,Rankin Inlet,,,,
450,450,954,Red Deer,52.18,-113.89,AB,YQF,Red Deer Penhold,,,,
881,881,978,Red Lake,51.07,-93.79,ON,YRL,Red Lake McKenzie Island,,,,
741,741,966,Regina,50.43,-104.67,SK,YQR,Regina Grand Coulee,,,,
863,863,974,Resolute,74.72,-94.97,NU,YRB,Resolute,,,,
208,208,1027,Richmond,49.19,-123.18,BC,YYR,Goose Happy Valley-Goose Bay,,,,
776,776,630,Roblin,51.18,-101.36,MB,WXB,Roblin,,,,
14,14,560,Rock River,60.1,-127.33,YT,WRR,Rock River,,,,
719,719,478,Rockglen,49.17,-105.98,SK,WKO,Rockglen,,,,
1570,1570,742,Rocky Harbour,49.57,-57.88,NF,XRH,Rocky Harbour,,,,
698,698,555,Rosetown,51.57,-107.92,SK,WRJ,Rosetown East,,,,
1135,1135,1015,Rouyn-Noranda,48.21,-78.84,QC,YUY,Rouyn McWatters,,,,
131,131,994,Sachs Harbour,71.99,-125.24,NT,YSY,Sachs Harbour,,,,
1320,1320,779,Saguenay,48.33,-71,QC,YBG,Bagotville La Baie,,,,
1405,1405,986,Saint John,45.32,-65.89,NB,YSJ,St John Saint John Loch Lomond Rothesay,,,,
1199,1199,55,Salluit,62.18,-75.67,QC,MFX,,,,,
324,324,573,Salmon Arm,50.7,-119.29,BC,WSL,Salmon Arm,,,,
41,41,344,Sandspit,53.25,-131.81,BC,YZP,Sandspit,,,,
1119,1119,87,Sanikiluaq,56.54,-79.26,NU,NSQ,,,,,
893,893,1889,Sarnia,42.97,-82.4,ON,XZR,,,,,
714,714,1045,Saskatoon,52.17,-106.7,SK,YXE,Saskatoon,,,,
974,974,95,Sault Ste. Marie,46.48,-84.52,ON,OSM,,,,,
1381,1381,885,Schefferville,54.81,-66.81,QC,YKL,Schefferville Knob Lake,,,,
683,683,592,Scott,52.36,-108.83,SK,WTS,Saturna Island Waldron,,,,
1273,1273,746,Shawinigan,46.56,-72.73,QC,XSH,Shawinigan,,,,
1424,1424,42,Shelburne Sandy Point,43.75,-65.31,NS,ESB,,,,,
1397,1397,2047,Sherbrooke,45.4,-71.89,QC,WSC,,,,,
785,785,598,Shoal Lake,50.45,-100.6,MB,WUT,Shoal Lake,,,,
895,895,1049,Sioux Lookout,50.11,-91.91,ON,YXL,Sioux Lookout,,,,
412,412,1078,Slave Lake,55.29,-114.78,AB,YZH,Slave Lake,,,,
99,99,341,Smithers,54.82,-127.19,BC,YYD,Smithers,,,,
708,708,576,Spiritwood,53.37,-107.56,SK,WSR,Spiritwood West,,,,
861,861,579,Sprague,49.02,-95.6,MB,WSU,Sprague,,,,
452,452,635,Stavely,50.18,-113.88,AB,WXN,Stavely,,,,
1302,1302,458,Ste-Foy,46.78,-71.29,QC,WJB,Ste Foy Sainte-Foy,,,,
1567,1567,873,Stephenville,48.54,-58.55,NF,YJT,Stephenville,,,,
532,532,660,Stettler ,52.35,-112.6,AB,XAK,Stettler Botha,,,,
721,721,985,Stony Rapids,59.25,-105.84,SK,YSF,Stony Rapids,,,,
983,983,902,Sudbury,46.49,-80.99,ON,YLD,Chapleau,,,,
308,308,597,Summerland,49.56,-119.65,BC,WUS,Summerland,,,,
421,421,355,Sundre,51.78,-114.68,AB,WAY,Mould Bay,,,,
1416,1416,34,Sussex Four Corners,45.74,-65.53,NB,ASF,,,,,
777,777,403,Swan River,52.12,-101.23,MB,WEQ,Swan River,,,,
705,705,1069,Swift Current,50.29,-107.69,SK,YYN,Swift Current,,,,
1555,1555,31,Sydney,46.16,-60.04,NS,AQY,,,,,
806,806,785,Tadoule Lake,58.71,-98.51,MB,YBQ,Tadoule Lake,,,,
884,884,1066,Taloyoak,69.55,-93.58,NU,YYH,Taloyoak Spence Bay ( -1992),,,,
151,151,751,Tatlayoko Lake,51.67,-124.4,BC,XTL,Tatlayoko Lake,,,,
1616,1616,754,Terra Nova Nat Park,48.56,-53.97,NF,XTP,Terra Nova National Park Traytown,,,,
78,78,1055,Terrace,54.47,-128.58,BC,YXT,Terrace,,,,
1035,1035,1905,Terrace Bay,48.78,-87.09,ON,YTJ,,,,,
35,35,1085,Teslin,60.17,-132.74,YT,YZW,Teslin,,,,
778,778,953,The Pas,53.97,-101.09,MB,YQD,The Pas Grace Lake,,,,
1303,1303,67,Thetford Mines,46.05,-71.27,QC,MTH,Thetford Mines Thetford-Mines,,,,
498,498,437,Three Hills,51.77,-113.21,AB,WHI,Three Hills,,,,
920,920,1909,Thunder Bay,48.37,-89.24,ON,XNI,,,,,
922,922,1910,Timmins,48.37,-81.32,ON,XTI,,,,,
1524,1524,749,Tracadie,45.61,-61.68,NS,XTD,Tracadie,,,,
1111,1111,1930,Trenton,44.1,-77.57,ON,XTR,,,,,
1275,1275,980,Trois-Rivieres,46.35,-72.68,QC,YRQ,Trois Rivieres Trois-Rivieres Sainte-Catherine,,,,
31,31,1008,Tuktoyaktuk,69.43,-133.03,NT,YUB,Tuktoyaktuk,,,,
1608,1608,383,Twillingate,49.68,-54.8,NF,WDO,Twillingate Crow Head,,,,
349,349,856,Ulukhaktok,70.76,-117.81,NT,YHI,Ulukhaktok (Holman),,,,
1185,1185,922,Umiujaq,56.54,-76.52,QC,YMU,Umiujaq,,,,
113,113,1406,Vancouver,49.28,-123.12,BC,VWC,,,,,
557,557,605,Vegreville,53.51,-112.1,AB,WYI,Pools Island Valleyfield,,,,
182,182,1418,Victoria,48.43,-123.44,BC,YVI,,,,,
824,824,1487,Victoria Beach,50.78,-96.59,MB,WII,,,,,
794,794,625,Wasagaming,50.66,-99.94,MB,WWP,Wasagaming,,,,
1140,1140,893,Waskaganish,51.47,-78.76,QC,YKQ,Waskaganish,,,,
688,688,2116,Waskesiu Lake,53.92,-106.08,SK,WLV,,,,,
729,729,455,Watrous,51.67,-105.4,SK,WIW,Watrous East,,,,
72,72,956,Watson Lake,60.12,-128.82,YT,YQH,Watson Lake,,,,
972,972,1059,Wawa,47.97,-84.79,ON,YXZ,Wawa,,,,
1116,1116,275,Welland-Pelham,42.97,-79.32,ON,TWL,Welland Pelham Wainfleet,,,,
1439,1439,619,Western Head,43.99,-64.66,NS,WWE,Western Head Liverpool,,,,
480,480,240,Wetaskiwin,52.98,-113.44,AB,PWT,,,,,
750,750,620,Weyburn,49.69,-103.8,SK,WWF,Weyburn,,,,
892,892,1050,Whale Cove,62.24,-92.6,NU,YXN,Whale Cove,,,,
366,366,498,Whati,63.13,-117.24,NT,WMT,Lac La Martre,,,,
236,236,349,Whistler,50.17,-122.9,BC,WAE,,,,,
241,241,621,White Rock,49.02,-122.78,BC,WWK,White Rock,,,,
391,391,1083,Whitecourt,54.14,-115.79,AB,YZU,Whitecourt,,,,
37,37,2138,Whitehorse,60.75,-135.06,YT,WXY,,,,,
266,266,1042,Williams Lake,52.18,-122.05,BC,YWL,Williams Lake,,,,
338,338,624,Willow Creek,49.96,-113.78,AB,WWO,Willow Creek Entrance,,,,
985,985,955,Windsor,42.28,-82.96,ON,YQG,Windsor Tecumseh,,,,
795,795,1491,Winnipeg,49.89,-97.13,MB,WWI,,,,,
1374,1374,43,Woodstock ,43.13,-80.74,NB,EWD,,,,,
183,183,1044,Wrigley,63.21,-123.44,NT,YWY,Wrigley,,,,
1401,1401,958,Yarmouth,43.83,-66.09,NS,YQI,Yarmouth,,,,
384,384,641,Yoho Park,51.44,-116.34,BC,WYL,Yoho Park Stephen,,,,
745,745,2119,Yorkton,51.21,-102.47,SK,YQV,,,,,
